{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  1 controlled agent:  1 ; Episode Return:  -483.0 ; win rate(coFntrolled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.00 0.50 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.00 0.33 ; Trained episode: 0
Episode:  4 controlled agent:  1 ; Episode Return:  -258.0 ; win rate(coFntrolled & opponent):  0.25 0.25 ; Trained episode: 0
Episode:  5 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.20 0.20 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -274.0 ; win rate(coFntrolled & opponent):  0.33 0.17 ; Trained episode: 1
Episode:  7 controlled agent:  1 ; Episode Return:  -277.0 ; win rate(coFntrolled & opponent):  0.29 0.29 ; Trained episode: 2
Episode:  8 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.25 0.25 ; Trained episode: 2
Episode:  9 controlled agent:  1 ; Episode Return:  -272.0 ; win rate(coFntrolled & opponent):  0.22 0.33 ; Trained episode: 2
Episode:  10 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.20 0.30 ; Trained episode: 2
Episode:  11 controlled agent:  1 ; Episode Return:  -146.0 ; win rate(coFntrolled & opponent):  0.27 0.27 ; Trained episode: 2
Episode:  12 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.25 0.25 ; Trained episode: 3
Episode:  13 controlled agent:  1 ; Episode Return:  -168.0 ; win rate(coFntrolled & opponent):  0.23 0.31 ; Trained episode: 3
Episode:  14 controlled agent:  1 ; Episode Return:  -260.0 ; win rate(coFntrolled & opponent):  0.29 0.29 ; Trained episode: 3
Episode:  15 controlled agent:  1 ; Episode Return:  -238.0 ; win rate(coFntrolled & opponent):  0.33 0.27 ; Trained episode: 4
Episode:  16 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.31 0.25 ; Trained episode: 5
Episode:  17 controlled agent:  1 ; Episode Return:  -158.0 ; win rate(coFntrolled & opponent):  0.35 0.24 ; Trained episode: 5
Episode:  18 controlled agent:  1 ; Episode Return:  -323.0 ; win rate(coFntrolled & opponent):  0.33 0.28 ; Trained episode: 6
Episode:  19 controlled agent:  1 ; Episode Return:  -340.0 ; win rate(coFntrolled & opponent):  0.32 0.32 ; Trained episode: 6
Episode:  20 controlled agent:  1 ; Episode Return:  -199.0 ; win rate(coFntrolled & opponent):  0.30 0.35 ; Trained episode: 6
